Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3841429,12,6,20,27,200,0,53076,0.060%,4372.86802,547.30,3514.99
TOTAL,3841429,12,6,20,27,200,0,53076,0.060%,4372.86802,547.30,3514.99
